"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"828","PL005349224582","PL005349224582",1,10,"2016--05","2016--02",70,615.725879008587,38.680434
"830","PL005349224353","PL005349224353",1,10,"2016--07","2016--02",70,495.866788442514,43.381312
"835","PL005251904671","PL005251904671",1,10,"2016--10","2016--03",70,578.296848417831,32.7058
"836","PL005349224490","PL005349224490",1,10,"2016--10","2016--03",70,542.26784088586,39.628585
"841","PL005349224667","PL005349224667",1,10,"2016--09","2016--03",71,514.089817753969,30.05552
"842","PL005368235040","PL005368235040",1,10,"2016--09","2016--03",71,548.080268453834,34.904817
"846","PL005349224490","PL005349224490",1,10,"2016--10","2016--03",71,561.638203845472,39.779934
"849","PL005349224582","PL005349224582",1,10,"2016--05","2016--02",72,584.423392653098,39.77136
"851","PL005349224353","PL005349224353",1,10,"2016--07","2016--02",72,484.99467481129,42.224728
"854","PL005349224667","PL005349224667",1,10,"2016--09","2016--03",72,530.945647696222,27.793662
"857","PL005251904671","PL005251904671",1,10,"2016--10","2016--03",72,503.301373208788,33.51192
"858","PL005349224490","PL005349224490",1,10,"2016--10","2016--03",72,529.939478679731,39.316693
"859","PL005368235040","PL005368235040",1,10,"2016--10","2016--03",72,544.679867389827,37.277862
"863","PL005349224582","PL005349224582",1,10,"2016--06","2016--02",73,547.719472125512,41.499186
"864","PL005349224353","PL005349224353",1,10,"2016--07","2016--02",73,551.701367288502,41.522245
"869","PL005349224490","PL005349224490",1,10,"2016--10","2016--03",73,428.952505805283,39.046248
"870","PL005368235040","PL005368235040",1,10,"2016--10","2016--03",73,564.013808388884,37.723273
"873","PL005251904671","PL005251904671",1,10,"2016--11","2016--03",73,507.239856932775,33.95421
"875","PL005349224582","PL005349224582",1,10,"2016--06","2016--02",74,596.386515070015,39.739318
"877","PL005349224353","PL005349224353",1,10,"2016--07","2016--02",74,531.736892841677,41.729184
"880","PL005349224667","PL005349224667",1,10,"2016--09","2016--03",74,464.913992290834,28.241244
"881","PL005349224490","PL005349224490",1,10,"2016--10","2016--03",74,557.708732467272,39.25571
"882","PL005368235040","PL005368235040",1,10,"2016--10","2016--03",74,513.405845209277,37.908704
"889","PL005349224353","PL005349224353",1,10,"2016--07","2016--02",75,468.086026729235,40.664664
"891","PL005349224667","PL005349224667",1,10,"2016--10","2016--03",75,441.274981825378,29.48352
"892","PL005368235040","PL005368235040",1,10,"2016--10","2016--03",75,536.675589700871,37.632424
"897","PL005251904527","PL005251904527",1,10,"2016--05","2016--02",76,513.155639867388,32.335065
"898","PL005349224414","PL005349224414",1,10,"2016--05","2016--02",76,524.332409030994,30.045528
