nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLCZEM000525357021,CHORUSIC KEVIN,2006,241,1,200037,CO60,2024HC,74,-199,G,79,0,-593,-39,-36,-33,85,83,79,78,G,0,27,68,47,47,-138,-258,110,107,91,47,19
HOLDEUM001504336100,GARETT,2018,241,1,781997,IM74,2024HC,77,217,J,88,0,2261,27,59,91,92,90,88,89,J,0,47,74,55,55,51,175,22,21,0,55,22
HOLNLDM000443170854,DELTA LIMERICK,2005,241,1,977627,CO60,2024HC,90,-318,E,96,153,-1316,-59,-55,-51,97,97,96,97,E,0,52,76,60,60,-76,-200,-25,-24,19,60,-44
HOLNLDM000523361040,VISSTEIN DOLLAR,2009,241,1,940066,CO60,2024HC,91,-61,E,97,181,711,-24,14,20,97,97,97,97,E,0,54,77,61,61,-214,-198,180,175,141,61,39
HOLUSAM003126539652,CO-OP TROY PILEDRIVER,2014,241,1,781920,KI34,2024HC,86,15,I,92,58,2107,43,47,96,94,93,92,86,I,1,42,73,54,54,-10,147,75,73,33,54,42
HOLFRAM002832014296,CAP MISTERTER,2016,241,1,780638,IM53,2024HC,77,10,J,82,0,-765,10,-19,-28,87,85,82,86,J,0,50,74,54,54,-18,28,-51,-49,-39,54,-12
HOLNLDM000543203863,DELTA FAITHFULL,2010,241,1,940371,CO60,2024HC,90,-125,E,96,148,-1402,-22,-40,-76,97,97,96,97,E,0,49,76,60,60,-116,-198,44,43,50,60,-6
HOLUSAM000066757463,WELCOME GILIAN,2009,241,1,940352,CO60,2024HC,79,-129,J,84,0,520,-24,-6,26,88,87,84,87,J,0,51,74,54,54,-27,-91,57,55,52,54,5
HOLFRAM000801949278,JUXEURO GUINGUETTE,2014,241,1,769276,IM53,2024HC,80,56,G,86,0,192,22,8,2,90,89,86,82,G,0,52,75,56,56,180,143,-87,-84,-71,56,-16
HOLNLDM000474998535,DELTA PLATINUM,2007,241,1,978175,CO60,2024HC,90,-107,E,96,151,66,-18,-17,9,97,97,96,97,E,0,54,77,61,61,5,-94,46,45,52,61,-6
HOLNLDM000493598950,ETAZON VUELTA,2008,241,1,978654,CO60,2024HC,90,-147,E,96,171,-331,-51,-20,-7,97,97,96,97,E,0,50,76,60,60,-114,-230,96,93,98,60,-2
HOLCZEM000064191256,DELTA FAIR PLAY P,2020,241,1,942511,CO60,2024HC,75,250,G,80,0,1518,63,56,84,86,84,80,79,G,0,53,75,54,54,105,236,27,26,4,54,23
HOLDEUM000364434909,VH RAINS,2022,241,1,785391,IM65,2024HC,67,326,G,73,0,1314,79,62,64,81,79,73,74,G,0,47,72,50,50,-30,209,76,74,34,50,42
HOLDEUM000363206549,TNP SUNNY P ET,2020,241,1,783514,IM90,2024HC,71,196,G,77,0,1264,49,43,57,83,82,77,76,G,0,48,73,51,51,143,209,-12,-12,-21,51,9
HOLNLDM000593551262,LOWLANDS CATALYST,2020,241,1,942549,CO60,2024HC,76,155,G,81,0,876,24,45,46,86,85,81,79,G,0,55,75,54,54,44,133,4,4,-4,54,8
HOLUSAM003126822845,PEAK AMPLIFY,2014,241,1,941631,CO60,2024HC,87,40,E,94,76,334,31,23,27,95,95,94,95,E,0,49,75,58,58,71,68,44,43,18,58,26
HOLNLDM000444097028,LOWLANDS OPTIMIST,2006,241,1,978035,CO60,2024HC,92,-57,E,97,211,-976,-17,-29,-49,98,98,97,98,E,0,51,76,60,60,-148,-239,131,127,114,60,17
HOLNLDM000664899187,DELTA ARCHIE,2019,241,1,942269,CO60,2024HC,77,200,G,82,0,56,36,11,26,87,86,82,80,G,0,55,75,55,55,-30,39,70,68,41,55,29
HOLNLDM000444097011,ISIDORUSHOEVE OPLAND,2006,241,1,978041,CO60,2024HC,90,-162,E,96,163,1041,-14,-4,47,97,97,96,97,E,0,55,77,61,61,-30,-39,46,45,50,61,-4
HOLNLDM000844758594,TOPSTEEN FANTASTIC,2009,241,1,940201,CO60,2024HC,77,-73,G,82,0,1210,-3,17,47,87,86,82,80,G,0,52,75,55,55,-135,-73,125,121,93,55,32
HOLNLDM000934670744,DELTA GRAFITTY,2012,241,1,940894,CO60,2024HC,91,23,E,97,180,-215,3,-11,-6,97,97,97,97,E,0,54,77,61,61,-19,-11,0,0,5,61,-5
HOLDEUM000124340445,KAX BENSTAR,2021,241,1,784441,IM03,2024HC,69,230,G,75,0,2214,69,69,107,82,80,75,75,G,0,47,72,50,50,137,298,11,11,-8,50,19
HOLNLDM000474998528,DELTA PORTER,2007,241,1,978178,CO60,2024HC,79,-216,G,84,0,-781,-42,-29,-42,88,87,84,81,G,0,51,75,55,55,-116,-215,61,59,57,55,4
HOLNLDM000484264338,DELTA SUCCESS,2007,241,1,978747,CO60,2024HC,79,-194,G,84,0,-91,-7,-21,-14,88,87,84,81,G,0,54,75,55,55,-3,-48,-1,-1,2,55,-3
